ID,n_sec,latitud,longitd,municip,localdd,predio,causa,ecos,tipo,inicio,termino,renuevo,arboreo,arbustv,herbace,total,copa,dur,tempord,temp_añ,difftim,radio,pendint,altitud,CLAVE,TIPO_C,usv,dst_hrt,dist_gr,dist_vs,dist_rb,Prec,Tmin,Tmax,Prec30d,est,porc_copa,ROS_ha_day
18-Ari-2001-03-16,"49",19.118333329999999,-101.633333300000004,Ario de Rosales,ARIO DE ROSALES,ESCOBILLAS,,,,2001-03-16,2001-03-16,"0",0.000000000000000,"12","0",12.000000000000000,NA,NA,secas,"2001","1",195.439999999999998,24.295633316040039,2007.000000000000000,(A)C(w2)(w),Templado subhúmedo,Bosque de encino/veg primaria arbórea,364.052492860302209,179.633475649706213,3306.392336076622541,175.574006937551331,0.000000000000000,4.500000000000000,22.000000000000000,61.599999999999994,_16515,0.00,12.0000
19-Ari-2001-04-14,"236",19.053611109999999,-101.682222199999998,Ario de Rosales,ARIO DE ROSALES,EL MORAL,,,,2001-04-14,2001-04-14,"10",2.000000000000000,"10","0",22.000000000000000,NA,NA,secas,"2001","1",264.629999999999995,37.730770111083984,1920.000000000000000,(A)C(w1)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,0.000000000000000,242.146348320589510,2016.209343799155931,8043.208374325721707,0.000000000000000,17.000000000000000,36.000000000000000,0.000000000000000,"16230",9.09,22.0000
20-Ari-2001-04-17,"268",19.036111110000000,-101.622222199999996,Ario de Rosales,ARIO DE ROSALES,CARAMICUAS,,,,2001-04-17,2001-04-17,"4",0.000000000000000,"12","0",16.000000000000000,NA,NA,secas,"2001","1",225.680000000000007,9.501461982727051,1820.000000000000000,(A)C(w1)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,407.161101258555675,278.716588701447108,1263.827445556396697,8592.603956513652520,0.000000000000000,16.000000000000000,38.000000000000000,0.000000000000000,"16230",0.00,16.0000
21-Ari-2001-04-17,"269",19.202777780000002,-101.644444399999998,Ario de Rosales,ARIO DE ROSALES,TEPAMAL,,,,2001-04-17,2001-04-17,"1",0.000000000000000,"2","0",3.000000000000000,NA,NA,secas,"2001","1",97.719999999999999,22.360679626464844,2271.000000000000000,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,100.826925331983318,345.795425731294529,1486.003499352341805,1810.378146108240117,0.000000000000000,7.500000000000000,26.000000000000000,0.000000000000000,_16515,0.00,3.0000
22-Ari-2001-04-21,"296",19.199999999999999,-101.700000000000003,Ario de Rosales,ARIO DE ROSALES,CO. SAN MIGUEL,,,,2001-04-21,2001-04-21,"0",1.000000000000000,"3","2",6.000000000000000,NA,NA,secas,"2001","1",138.199999999999989,5.892556667327882,1881.000000000000000,(A)C(w2)(w),Templado subhúmedo,Cultivo perenne,0.000000000000000,0.000000000000000,108.686815761144246,105.624739667982610,0.000000000000000,9.000000000000000,24.500000000000000,1.000000000000000,_16515,16.67,6.0000
23-Ari-2001-04-22,"301",19.266666669999999,-101.685833299999999,Ario de Rosales,ARIO DE ROSALES,POZO DE AGUA,,,,2001-04-22,2001-04-22,"2",2.000000000000000,"3","0",7.000000000000000,NA,NA,secas,"2001","1",149.270000000000010,2.357022523880005,2283.000000000000000,C(w2)(w),Templado subhúmedo,Bosque de encino/veg primaria arbórea,29.074159597759522,0.000000000000000,917.382277795274035,1029.539220802562568,0.000000000000000,9.500000000000000,25.000000000000000,1.000000000000000,_16515,28.57,7.0000
24-Ari-2001-04-29,"330",19.094722220000001,-101.633333300000004,Ario de Rosales,ARIO DE ROSALES,CO. GOBERNADOR,,,,2001-04-29,2001-04-29,"2",0.000000000000000,"10","0",12.000000000000000,NA,NA,secas,"2001","1",195.439999999999998,7.546154499053956,2043.000000000000000,C(w2)(w),Templado subhúmedo,Cultivo perenne,0.000000000000000,0.000000000000000,2740.323558643851356,2467.661909862839821,0.000000000000000,6.500000000000000,24.000000000000000,1.000000000000000,_16515,0.00,12.0000
25-Ari-2001-05-06,"370",19.052777780000000,-101.675277800000003,Ario de Rosales,ARIO DE ROSALES,LAS PITAS,,,,2001-05-06,2001-05-06,"0",1.000000000000000,"3","3",7.000000000000000,NA,NA,lluvias,"2001","1",149.270000000000010,3.726779937744141,1960.000000000000000,(A)C(w1)(w),Templado subhúmedo,Cultivo perenne,0.000000000000000,0.000000000000000,1562.358922606005308,7766.430967515211705,0.000000000000000,16.000000000000000,38.000000000000000,0.000000000000000,"16230",14.29,7.0000
26-Ari-2001-05-07,"382",19.116666670000001,-101.784166700000000,Ario de Rosales,ARIO DE ROSALES,LA CEBADILLA,,,,2001-05-07,2001-05-07,"10",8.000000000000000,"2","5",25.000000000000000,NA,NA,lluvias,"2001","1",282.089999999999975,4.859126567840576,1420.000000000000000,(A)C(w1)(w),Templado subhúmedo,Pastizal inducido pastizal cultivado,413.305287967389575,0.000000000000000,3314.402861004080023,5320.162018759949206,0.000000000000000,16.000000000000000,35.000000000000000,0.000000000000000,_16012,32.00,25.0000
27-Ari-2001-05-16,"400",19.199999999999999,-101.727222200000000,Ario de Rosales,ARIO DE ROSALES,CUIRIO,,,,2001-05-16,2001-05-16,"2",0.000000000000000,"6","0",8.000000000000000,NA,NA,lluvias,"2001","1",159.580000000000013,42.442771911621094,1892.000000000000000,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,446.998556336491788,218.562104647101734,690.075813681875502,631.025863383950423,0.000000000000000,9.500000000000000,22.500000000000000,75.599999999999994,_16515,0.00,8.0000
28-Ari-2001-05-16,"401",19.250000000000000,-101.766666700000002,Ario de Rosales,ARIO DE ROSALES,SAN JOAQUIN,,,,2001-05-16,2001-05-16,"0",0.000000000000000,"5","0",5.000000000000000,NA,NA,lluvias,"2001","1",126.159999999999997,16.029487609863281,1556.000000000000000,(A)C(w2)(w),Templado subhúmedo,Pastizal inducido pastizal cultivado,261.600560353498906,0.000000000000000,3173.983379588121807,2655.475955787006114,0.000000000000000,9.500000000000000,22.500000000000000,75.599999999999994,_16515,0.00,5.0000
29-Ari-2001-05-17,"406",19.177777780000000,-101.800833299999994,Ario de Rosales,ARIO DE ROSALES,LOS NEGROS,,,,2001-05-17,2001-05-17,"0",0.000000000000000,"7","0",7.000000000000000,NA,NA,lluvias,"2001","1",149.270000000000010,41.045368194580078,1199.000000000000000,Aw0(w),Cálido subhúmedo,Cultivo perenne,49.260491727345439,0.000000000000000,110.213975693020572,868.233594326632556,0.000000000000000,18.000000000000000,32.000000000000000,11.000000000000000,_16012,0.00,7.0000
30-Ari-2002-02-28,"505",19.275555560000001,-101.654166700000005,Ario de Rosales,Las Latas,Las Latas,,,,2002-02-28,2002-02-28,"0",0.000000000000000,"3","4",7.000000000000000,NA,NA,secas,"2002","1",149.270000000000010,16.666666030883789,2270.000000000000000,C(w2)(w),Templado subhúmedo,Cultivo perenne,0.000000000000000,0.000000000000000,497.098745998630875,1794.944507056500925,0.000000000000000,4.000000000000000,22.500000000000000,26.199999999999999,_16515,0.00,7.0000
31-Ari-2002-04-04,"523",19.181944439999999,-101.681111099999995,Ario de Rosales,Cundas,Co. San Miguel,,,,2002-04-04,2002-04-04,"0",1.000000000000000,"2","0",3.000000000000000,NA,NA,secas,"2002","1",97.719999999999999,10.540925979614258,1892.000000000000000,(A)C(w2)(w),Templado subhúmedo,Pastizal inducido pastizal cultivado,195.486223798546291,1347.998070701834422,2876.679814027515022,2856.362140825994175,0.000000000000000,9.000000000000000,27.000000000000000,0.000000000000000,_16515,33.33,3.0000
